5
23
32.74 30.734 
15.838 60.953 
16.862 110.123 
15.325 118.574 
30.179 145.208 
41.703 149.818 
42.984 158.013 
70.386 184.39 
103.166 196.427 
135.69 183.366 
162.579 157.244 
164.592 148.685 
177.177 143.159 
189.725 118.574 
187.677 106.794 
189.981 61.465 
173.079 30.222 
159.762 29.966 
128.007 6.149 
101.728 13.975 
77.044 6.149 
47.849 30.014 
32.74 30.738 
5
16.847 110.118 
47.837 30.021 
101.722 13.984 
159.626 30.119 
187.66 106.782 
12
85.26 120.9 
42.976 158.013 
80.981 148.054 
101.936 138.004 
128.023 149.337 
162.544 157.267 
118.828 119.187 
102.363 138.432 
85.257 120.898 
94.452 114.269 
111.13 114.055 
119.256 119.187 
11
41.609 149.717 
76.695 84.976 
102.577 98.018 
128.67 83.7 
164.587 148.695 
170.788 98.66 
128.664 83.692 
101.724 13.993 
76.704 84.975 
35.649 98.446 
41.609 149.762 
9
76.695 84.976 
49.548 84.119 
61.95 58.674 
84.705 62.225 
102.149 97.163 
120.3 62.118 
144.06 57.391 
156.034 84.761 
128.67 83.695
