7
14
18.713 -81.41 
18.202 -56.622 
17.947 -36.946 
18.458 -25.191 
19.48 -18.291 
17.436 -11.903 
23.058 -3.47 
33.024 -2.192 
39.157 -8.325 
35.068 -17.525 
36.601 -33.624 
35.579 -47.678 
35.835 -57.133 
36.111 -68.459 
11
36.601 -33.624 
49.378 -39.757 
53.467 -46.912 
66.755 -47.423 
68.799 -22.38 
79.787 -2.959 
94.098 -2.448 
96.398 -11.392 
85.665 -14.458 
81.832 -60.2 
84.643 -68.888 
9
84.898 -23.146 
97.931 -24.68 
98.186 -31.835 
94.353 -37.201 
95.12 -78.343 
84.898 -92.653 
81.065 -139.673 
74.166 -146.317 
75.356 -168.496 
20
18.202 -56.622 
9.514 -70.421 
8.236 -81.665 
17.18 -92.909 
21.269 -125.362 
28.679 -141.717 
30.468 -166.76 
10.281 -176.215 
1.848 -191.036 
5.936 -203.813 
27.402 -205.346 
30.979 -211.99 
50.911 -212.757 
64.966 -204.58 
56.789 -189.247 
52.445 -164.46 
59.344 -159.86 
88.731 -175.704 
76.977 -201.258 
64.966 -204.835 
4
18.462 -25.192 
4.148 -23.402 
3.637 -31.068 
17.947 -36.946 
4
14.625 -204.069 
8.183 -193.789 
1.848 -191.037 
21.013 -176.981 
7
35.835 -201.769 
38.646 -198.702 
42.734 -199.98 
48.867 -197.936 
41.712 -206.624 
37.623 -206.368 
35.835 -202.28
